date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:07:31	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Dec%202019%2000:07:31%20GMT	http://127.0.0.1/robots.txt		(from )
02:07:31	28956/28956	---M-Z	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202019%2000:07:31%20GMT	http://127.0.0.1/wordpress/	C:/My%20Web%20Sites/y/127.0.0.1/wordpress/index.html	(from )
02:07:31	4098/4098	---M-Z	200	added ('OK')	text/css	etag:%221002-599c507d18b46-gzip%22	http://127.0.0.1/wordpress/wp-content/themes/themify-ultra/themify/css/themify.common.min.css?ver=4.7.3	C:/My%20Web%20Sites/y/127.0.0.1/wordpress/wp-content/themes/themify-ultra/themify/css/themify.common.minfe9d.css	(from http://127.0.0.1/wordpress/)
02:07:32	41467/41467	---M-Z	200	added ('OK')	text/css	etag:%22a1fb-596a0a3682b00-gzip%22	http://127.0.0.1/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.3.1	C:/My%20Web%20Sites/y/127.0.0.1/wordpress/wp-includes/css/dist/block-library/style.min7923.css	(from http://127.0.0.1/wordpress/)
02:07:32	3338/3338	---M-Z	200	added ('OK')	application/rss+xml	etag:%22eec33912a55c6c7b2d0a56107c04eaae-gzip%22	http://127.0.0.1/wordpress/feed/	C:/My%20Web%20Sites/y/127.0.0.1/wordpress/feed/index.html	(from http://127.0.0.1/wordpress/)
02:07:32	92533/92533	---M-Z	200	added ('OK')	text/css	etag:%2216975-599c507bd3d01-gzip%22	http://127.0.0.1/wordpress/wp-content/themes/themify-ultra/style.min.css?ver=2.5.9	C:/My%20Web%20Sites/y/127.0.0.1/wordpress/wp-content/themes/themify-ultra/style.min337d.css	(from http://127.0.0.1/wordpress/)
02:07:32	22913/22913	---M-Z	200	added ('OK')	text/css	etag:%225981-599c507a8b9d9-gzip%22	http://127.0.0.1/wordpress/wp-content/themes/themify-ultra/media-queries.min.css?ver=2.5.9	C:/My%20Web%20Sites/y/127.0.0.1/wordpress/wp-content/themes/themify-ultra/media-queries.min337d.css	(from http://127.0.0.1/wordpress/)
02:07:33	1648/1648	---M-Z	200	added ('OK')	application/rss+xml	etag:%224a39a1b915bcb978e2e2d12df1ab2307-gzip%22	http://127.0.0.1/wordpress/comments/feed/	C:/My%20Web%20Sites/y/127.0.0.1/wordpress/comments/feed/index.html	(from http://127.0.0.1/wordpress/)
02:07:33	2903/2903	---M-Z	200	added ('OK')	text/css	etag:%22b57-599c507bdbee4-gzip%22	http://127.0.0.1/wordpress/wp-content/themes/themify-ultra/styles/boxed-compact.min.css?ver=2.5.9	C:/My%20Web%20Sites/y/127.0.0.1/wordpress/wp-content/themes/themify-ultra/styles/boxed-compact.min337d.css	(from http://127.0.0.1/wordpress/)
02:07:33	123/123	---M-Z	200	added ('OK')	text/css	etag:%227b-599c507caee0d-gzip%22	http://127.0.0.1/wordpress/wp-content/themes/themify-ultra/styles/theme-font-sans-serif.min.css?ver=2.5.9	C:/My%20Web%20Sites/y/127.0.0.1/wordpress/wp-content/themes/themify-ultra/styles/theme-font-sans-serif.min337d.css	(from http://127.0.0.1/wordpress/)
